loss,score,val_loss,val_score,lr
1.2279353447033465,-0.4825090539044697,1.06990424549326,1.0427969288318715,0.001
1.1415690689176157,1.170789162081285,1.1744298669378808,1.029112147118183,0.001
1.1118016633415466,1.1354226048375027,1.0984487133330487,1.020148065039452,0.001
1.0970970773027584,1.111703688720093,1.0866549112948964,1.0239216981035597,0.001
1.0941688345118514,1.108789595072952,1.0933978182204227,1.0213648596215756,0.001
1.067005634865625,1.067515271108539,1.0662049110645944,1.059747493520696,0.0003
1.0670229799947248,1.0686243304999419,1.0661212669027613,1.0609376770638406,0.0003
1.0672352869730715,1.069341940557333,1.0661505892428946,1.0610737720956194,0.0003
1.067144075691421,1.0697478945333367,1.0660577277934298,1.0607852127704214,0.0003
1.066965532018904,1.0699319648823804,1.0658212881899896,1.06178208356208,0.0003
1.065528074714388,1.068447799137023,1.0654075221305197,1.0647038644932687,0.0003
1.059151504456566,1.0629577919149946,1.0665743325111714,1.0637392719502146,0.0003
1.0424559354173635,1.0442954817511891,1.0700063153023416,1.072641592482303,0.0003
