loss,score,val_loss,val_score,lr
77140.25351289069,-2.8348207174527142,-61687.18569302721,-2.793299996123022,0.0005
83858.09168926824,-2.7999109477850763,-244924.10150935373,-2.791197820585601,0.0005
-58085.499016166774,-2.799034393079685,-323687.07217261905,-2.791005887141844,0.0005
-53290.73319506488,-2.7988850410581523,-641037.7204506802,-2.7907437094214824,0.0005
-544557.1651776218,-2.798721485862172,-1303913.9532312925,-2.7906080005931204,0.0005
-506578.9910657307,-2.7986402498917538,-2080559.5663265307,-2.790561380840483,0.0005
-1472365.344182089,-2.79860142149131,-4411384.472789115,-2.790515369298507,0.0005
-3827893.349500106,-2.7985743733827824,-8842830.408163264,-2.790496121458456,0.0005
-9339121.738353541,-2.798561217404,-17003227.36734694,-2.7904865668744456,0.0005
-22377681.27717507,-2.7985558614809953,-23105301.006802723,-2.7904837869462513,0.0005
-28006656.63986386,-2.7985531688877634,-46495066.28571428,-2.790479913049815,0.0005
-51542141.73665178,-2.7985512500771867,-57122244.97959184,-2.7904792391524023,0.0005
-72259867.27589874,-2.7985503175009616,-100454260.95238096,-2.7904778483773574,0.0005
-114710087.16783664,-2.7985499700417646,-77812745.52380952,-2.7904783900903194,0.0005
-119290170.10508403,-2.7985496717269207,-121558853.49659865,-2.790477621312044,0.0005
-165380269.6617741,-2.798549095231709,-255365560.707483,-2.7904768006331255,0.0005
